2023.12.02 14:26:18 INFO  Started: Metals version 1.1.0 in folders '/home/ben/Programmieren/Advent of Code/2023/day2' for client Visual Studio Code 1.84.2.
2023.12.02 14:26:20 INFO  Running List(/home/ben/.local/share/coursier/bin/scala-cli, setup-ide, /home/ben/Programmieren/Advent of Code/2023/day2)
2023.12.02 14:26:20 INFO  Attempting to connect to the build server...
2023.12.02 14:26:20 INFO  Running BSP server List(/home/ben/.local/share/coursier/bin/.scala-cli.aux, bsp, --json-options, /home/ben/Programmieren/Advent of Code/2023/day2/.scala-build/ide-options-v2.json, /home/ben/Programmieren/Advent of Code/2023/day2)
2023.12.02 14:26:20 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/ben/Programmieren/Advent of Code/2023/day2/.metals/bsp.trace.json or /home/ben/.cache/metals/bsp.trace.json
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.11-sc-2/bloop-frontend_2.12-1.5.11-sc-2.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.11-sc-2/bloop-frontend_2.12-1.5.11-sc-2.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-backend_2.12/1.5.11-sc-2/bloop-backend_2.12-1.5.11-sc-2.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.6/logback-classic-1.4.6.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/libdaemon/libdaemon_2.12/0.0.11/libdaemon_2.12-0.0.11.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-backend_2.12/1.5.11-sc-2/bloop-backend_2.12-1.5.11-sc-2.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.4.6/logback-classic-1.4.6.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/libdaemon/libdaemon_2.12/0.0.11/libdaemon_2.12-0.0.11.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/qos/logback/logback-parent/1.4.6/logback-parent-1.4.6.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/qos/logback/logback-parent/1.4.6/logback-parent-1.4.6.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/scala-sbt/test-agent/1.8.3/test-agent-1.8.3.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/ch/qos/logback/logback-core/1.4.6/logback-core-1.4.6.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/org/slf4j/slf4j-api/2.0.4/slf4j-api-2.0.4.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/nailgun-server/1.0.7/nailgun-server-1.0.7.pom
2023.12.02 14:26:21 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-shared_2.12/1.5.11-sc-2/bloop-shared_2.12-1.5.11-sc-2.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/ch/qos/logback/logback-core/1.4.6/logback-core-1.4.6.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/slf4j/slf4j-api/2.0.4/slf4j-api-2.0.4.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/org/scala-sbt/test-agent/1.8.3/test-agent-1.8.3.pom
2023.12.02 14:26:21 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/nailgun-server/1.0.7/nailgun-server-1.0.7.pom
